,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,cv
O2_Out_APH_,50091.0,5.109821663884902,0.08129924141355273,4.889460646910842,5.054707316427352,5.110273505959329,5.164871762771693,5.330118432288203,-0.002042051345995058,-0.16576309407488266,0.015910387242701232
Refference_Temperature_C,50091.0,31.976165659509387,0.7387086923520406,29.965996947256865,31.47544268931439,31.981096491027472,32.481739850686075,33.991185592743605,-0.01763947340452431,-0.15573225557198134,0.023101853431021245
Flue_Gas_in_Temperature_C,50091.0,355.9926853313832,1.9477045955854364,350.6613333935369,354.6537917762869,355.9734933707439,357.3154306981202,361.3078890808703,0.029742458589229075,-0.182340952965653,0.005471192740301321
APH_Leakage_,50091.0,2.1755485420359304,0.8956148114091079,-0.2602768012907088,1.5676978420034247,2.174397825040576,2.7863476041995137,4.614322247493647,-0.002379024825668017,-0.17261061857961169,0.4116730994983776
Corrected_Flue_Gas_Out_Temperature_C,50091.0,124.93292809255394,1.2280833052122606,121.60954150045654,124.10729675953857,124.93340242828909,125.77246693225992,128.27022219134193,-0.021925286449075175,-0.14142217683163505,0.00982994094481209
APH_Effectiveness_,50091.0,71.31751540202623,0.3680551582188083,70.31227227028045,71.06662135707444,71.31774862145198,71.56952074827043,72.32386983506443,0.0037339548692938472,-0.1728906196957669,0.005160796140247356
Coal_Flow_th,50091.0,167.23523645279337,1.5327909121865417,163.0561871553121,166.18709749111403,167.2380753563828,168.27437104831532,171.40528138411725,0.0010640687874309137,-0.17243543655457616,0.009165478189276295
Energy_Input_From_Boiler_Kcalh,50091.0,711205256.4300108,6202829.038707902,694373529.2282007,707000035.5113149,711154865.0863512,715417706.3667244,728044212.6498387,0.018395282108724504,-0.16629345923713368,0.00872157367036884
NTHR_KcalKwh,50091.0,2539.7618708607447,21.750691096846932,2480.4539944509006,2524.931797863192,2539.8742836374267,2554.5836668047195,2599.0614702170105,-0.01563176383510188,-0.1734324993107923,0.008564067106604548
NPHR_KcalKwh,50091.0,2711.070514596055,22.999512425790464,2648.97140798938,2695.547390506236,2711.1217272858285,2726.598045517473,2773.174028034329,-0.01390501305842604,-0.1548177280260803,0.008483553748220138
Gross_Load_MW,50091.0,296.34917485722644,1.2568789560982092,292.9399022877972,295.4970004792027,296.34644754982446,297.2017326068064,299.7588307982119,0.009193380797286727,-0.1541245633817505,0.004241209568758684
Nett_Load_MW,50091.0,280.04895996986386,1.1839767929561857,276.8271388107804,279.245030673002,280.0555094204421,280.85695858114974,283.2748504433713,-0.011948941082128276,-0.18166531835536226,0.0042277492945647565
HHV_KcalKg,50091.0,4253.554485868736,9.152257328286527,4228.620221441717,4247.345909137266,4253.612466400629,4259.829700934299,4278.555388629848,-0.02765218661651608,-0.14388101446616153,0.002151672761849503
